File_Name,ParticipantID,Device,ConditionNr,ASL,SNR,Speech Percentage,Duration,Bandwidth
P04_M_C4_Headset_S05.wav,P04,Headset (Sennheiser PXC 550),4,-45.32451227971844,46.29532973915319,0.561675486083485,11.029478458049889,FB
P04_M_C5_Headset_S01.wav,P04,Headset (Sennheiser PXC 550),5,-50.45509067802452,43.23372483890214,0.7153015079293437,16.703990929705217,FB
P04_M_C5_Headset_S02.wav,P04,Headset (Sennheiser PXC 550),5,-44.47447886187167,72.49552218160949,0.7202900331701878,15.936009070294784,FB
P04_M_C5_Headset_S03.wav,P04,Headset (Sennheiser PXC 550),5,-46.68095721030498,48.21363359961555,0.6251902612788255,17.28,FB
P04_M_C5_Headset_S04.wav,P04,Headset (Sennheiser PXC 550),5,-50.12432360410008,42.33651217531655,0.5886250582510156,17.72800453514739,FB
P04_M_C5_Headset_S05.wav,P04,Headset (Sennheiser PXC 550),5,-50.49593373721689,40.57309603523124,0.4973506838196323,9.92,FB
P04_M_C6_Headset_S01.wav,P04,Headset (Sennheiser PXC 550),6,-45.43066587117569,99.0,0.7375409357851115,16.32,FB
P04_M_C6_Headset_S02.wav,P04,Headset (Sennheiser PXC 550),6,-41.13485594892598,99.0,0.7894211767754756,15.04,FB
P04_M_C6_Headset_S03.wav,P04,Headset (Sennheiser PXC 550),6,-41.396663370765445,45.59669843162779,0.7673756271440274,16.703990929705217,FB
P04_M_C6_Headset_S04.wav,P04,Headset (Sennheiser PXC 550),6,-43.67875838964059,99.0,0.7275011247666993,16.76800453514739,FB
P04_M_C6_Headset_S05.wav,P04,Headset (Sennheiser PXC 550),6,-42.98885858980231,99.0,0.7369166507676495,9.6,FB
P04_M_C7_Smartphone_S01.wav,P04,Smartphone (iPhone 11 Pro),7,-22.20513285841789,48.591828701321845,0.9128339318124016,15.850657596371882,SWB
P04_M_C7_Smartphone_S02.wav,P04,Smartphone (iPhone 11 Pro),7,-21.46903703488669,47.5342492829759,0.8272560704487776,14.72,SWB
P04_M_C7_Smartphone_S03.wav,P04,Smartphone (iPhone 11 Pro),7,-20.64726855315026,42.42045927108977,0.9001217572482747,17.301337868480726,SWB
P04_M_C7_Smartphone_S04.wav,P04,Smartphone (iPhone 11 Pro),7,-22.101953666497028,52.56937281073046,0.912551757602114,16.36267573696145,SWB
P04_M_C7_Smartphone_S05.wav,P04,Smartphone (iPhone 11 Pro),7,-20.293359052580023,47.89876603090661,0.806941783498152,8.511995464852607,SWB
P04_M_C8_Headset_S01.wav,P04,Headset (Sennheiser PXC 550),8,-44.010868777795935,44.71080609357905,0.7511477694986625,16.703990929705217,FB
P04_M_C8_Headset_S02.wav,P04,Headset (Sennheiser PXC 550),8,-43.25871758944844,99.0,0.7988030011750146,16.256009070294784,FB
P04_M_C8_Headset_S03.wav,P04,Headset (Sennheiser PXC 550),8,-42.054925380510106,41.37786875233019,0.7369750768084858,16.896009070294784,FB
P04_M_C8_Headset_S04.wav,P04,Headset (Sennheiser PXC 550),8,-43.62197996516428,43.98105078630965,0.693035346125508,16.96,FB
P04_M_C8_Headset_S05.wav,P04,Headset (Sennheiser PXC 550),8,-42.167468924026686,45.25412345858616,0.6914122420451217,9.28,FB
P04_M_C9_Headset_S01.wav,P04,Headset (Sennheiser PXC 550),9,-42.69970465857976,99.0,0.9712945439462374,15.936009070294784,FB
P04_M_C9_Headset_S02.wav,P04,Headset (Sennheiser PXC 550),9,-43.21136812755238,99.0,0.9609536056463762,16.76800453514739,FB
P04_M_C9_Headset_S03.wav,P04,Headset (Sennheiser PXC 550),9,-43.2494015674764,99.0,0.97539444745278,17.08800453514739,FB
P04_M_C9_Headset_S04.wav,P04,Headset (Sennheiser PXC 550),9,-41.614162234018266,99.0,0.963342096507622,18.30399092970521,FB
P04_M_C9_Headset_S05.wav,P04,Headset (Sennheiser PXC 550),9,-39.10413319449936,99.0,0.9392957396117572,10.751995464852609,FB
P05_M_C1_Headset_S01.wav,P05,Headset (Sennheiser PXC 550),1,-29.171671399269197,40.79962135104432,0.8160495144685646,15.023968253968254,FB
P05_M_C1_Headset_S02.wav,P05,Headset (Sennheiser PXC 550),1,-30.35305245598081,44.54621224056193,0.6949959816751167,16.208185941043084,FB
P05_M_C1_Headset_S03.wav,P05,Headset (Sennheiser PXC 550),1,-29.69016985038957,43.32554321872756,0.7341967670188394,15.441927437641723,FB
P05_M_C1_Headset_S04.wav,P05,Headset (Sennheiser PXC 550),1,-29.119458031169625,42.71530015884538,0.7835223003620787,17.438843537414964,FB
P05_M_C1_Headset_S05.wav,P05,Headset (Sennheiser PXC 550),1,-31.55383086104036,49.94175593809451,0.6915006970206342,10.263877551020409,FB
P05_M_C2_Smartphone_S01.wav,P05,Smartphone (iPhone 11 Pro),2,-26.00231034387016,99.0,0.9622676910272504,14.805328798185942,FB
P05_M_C2_Smartphone_S02.wav,P05,Smartphone (iPhone 11 Pro),2,-26.113270846007715,99.0,0.9692930392005312,14.997324263038548,FB
P05_M_C2_Smartphone_S03.wav,P05,Smartphone (iPhone 11 Pro),2,-25.519177183847745,99.0,0.920843171554466,15.701337868480726,FB
P05_M_C2_Smartphone_S04.wav,P05,Smartphone (iPhone 11 Pro),2,-26.01284653144401,41.09236362770388,0.9757486967068908,18.858662131519274,FB
P05_M_C2_Smartphone_S05.wav,P05,Smartphone (iPhone 11 Pro),2,-25.59158562670381,99.0,0.9722431490948852,9.130657596371885,FB
