,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
106,P02,M,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S02,P02_M_C4_Laptop_S02.wav,,-18.393474949431447,0.7597942716277224,14.656009070294784,-15.961286670780105,WB,41.51934407362005
107,P02,M,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S03,P02_M_C4_Laptop_S03.wav,,-17.441254520317035,0.7576000680058044,15.103990929705216,-15.07140556451754,WB,39.73240227311179
108,P02,M,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S04,P02_M_C4_Laptop_S04.wav,,-18.193187395692668,0.7469019212251875,15.317324263038548,-15.764967610537758,WB,43.43900556889864
109,P02,M,In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),S05,P02_M_C4_Laptop_S05.wav,,-17.216917652409002,0.6652416815587087,9.109342403628116,-15.006728641346962,WB,45.998620060672295
110,P02,M,In the lab office,Smartphone (iPhone 11 Pro),S01,P02_M_C5_Smartphone_S01.wav,,-23.19815078276093,0.9831069255757844,13.76,-23.321427442606275,SWB,99.0
111,P02,M,In the lab office,Smartphone (iPhone 11 Pro),S02,P02_M_C5_Smartphone_S02.wav,,-20.12513597406243,0.9706058422519096,12.885328798185942,-20.369595083449266,SWB,42.31907815296332
112,P02,M,In the lab office,Smartphone (iPhone 11 Pro),S03,P02_M_C5_Smartphone_S03.wav,,-18.513582350842835,0.99312950793932,14.08,-19.410555105552525,SWB,31.070464424155816
113,P02,M,In the lab office,Smartphone (iPhone 11 Pro),S04,P02_M_C5_Smartphone_S04.wav,,-22.482258906387457,0.9895084473542946,14.613333333333332,-23.1024184700264,SWB,99.0
114,P02,M,In the lab office,Smartphone (iPhone 11 Pro),S05,P02_M_C5_Smartphone_S05.wav,,-22.517069288408337,0.9577348710018776,8.23467120181406,-22.82902460003071,SWB,99.0
115,P02,M,In front of MAR,Smartphone (iPhone 11 Pro),S01,P02_M_C6_Smartphone_S01.wav,,-43.27322410694013,0.8032290717100703,15.103990929705216,-41.90433661198419,FB,99.0
116,P02,M,In front of MAR,Smartphone (iPhone 11 Pro),S02,P02_M_C6_Smartphone_S02.wav,,-19.3699024960452,0.972241818660839,13.951995464852608,-19.264168689615364,FB,45.56403391702462
117,P02,M,In front of MAR,Smartphone (iPhone 11 Pro),S03,P02_M_C6_Smartphone_S03.wav,,-17.828344771744455,0.9903365654397432,15.829342403628118,-17.847355541671707,FB,34.066575321085885
118,P02,M,In front of MAR,Smartphone (iPhone 11 Pro),S04,P02_M_C6_Smartphone_S04.wav,,-19.875557801726043,0.9898300505483322,14.463990929705217,-19.498857206184244,FB,32.46450363269093
119,P02,M,In front of MAR,Smartphone (iPhone 11 Pro),S05,P02_M_C6_Smartphone_S05.wav,,-18.79404357423972,0.9316798519883276,7.786666666666667,-18.89275462313488,FB,99.0
